id,unit,variant,english,english_alt_response,variant_text,variant_pronunciation,variant_alt_response,Speaker,audioKey,context_badge,extra_yes_or_no,extra_details,link
u08_w0011,u08,kv,Can I use your bathroom?,,Eske mo ka sèrvi tô kòmòd?,,,Taalib,u08_w0011_kreole,,,,
u08_w0012,u08,kv,"His house, it is new",,"Sô lamézon, li nouvo",,,Daniele Simpson,u08_w0012_kreole,,,,
u09_w0001,u09,kv,me,,Mò,,"mwa, mwin ",Taalib,u09_w0001_kreole,,,,
u09_w0002,u09,kv,you,,twa,,,Taalib,u09_w0002_kreole,,,,
u09_w0003,u09,kv,"him, her, it",,li,,,Taalib,u09_w0003_kreole,,,,
u09_w0004,u09,kv,"you (pl), y'all",,"vou, vouzòt, zòt",,,Taalib,u09_w0004_kreole,,,,
u09_w0005,u09,kv,us,,"nou, nouzòt",,,Taalib,u09_w0005_kreole,,,,
u09_w0006,u09,kv,them,,yé,,,Jermaine,u09_w0006_kreole,,,,
u09_w0007,u09,kv,to call,,pélé,,,Daniele Simpson,u09_w0007_kreole,,,,
u09_w0008,u09,kv,How do they call you? ,What is your name?,Komen yé pèl twa?,,,Taalib,u09_w0008_kreole,,,,
u09_w0009,u09,kv,They call me...,,Yé pèl mò....,,,Lauren Richard,u09_w0009_kreole,,,,
u09_w0010,u09,kv,They call it École Saint-landry,,Yé pèl li lékòl Sin-Landri,,,Taalib,u09_w0010_kreole,,,,
u09_w0011,u09,kv,"to feel, to smell",,senti,,,Lauren Richard,u09_w00011_kreole,,,,
u10_w0001,u10,kv,never ,ever,jamé,,,,u10_w0001_kreole,,,,
u10_w0002,u10,kv,Not (negative marker),,pa ,,,Jermaine,u10_w0002_kreole,,,,
u10_w0003,u10,kv,man,,nonm,,,Taalib,u10_w0003_kreole,,,,
u10_w0004,u10,kv,woman,,fenm,,,Lauren Richard,u10_w0004_kreole,,,,
u10_w0005,u10,kv,child,,piti ,,zenfan,Jermaine,u10_w0005_kreole,,,,
u10_w0006,u10,kv,dog,,shyin ,,,Taalib,u10_w0006_kreole,,,,
u10_w0007,u10,kv,cat ,,sha,,,Aliza,u10_w0007_kreole,,,,
u10_w0008,u10,kv,sister,,sœr,,,Chaoui Leblanc,u10_w0008_kreole,,,,
u10_w0009,u10,kv,brother,,frè,,,Alexandre Leblanc,u10_w0009_kreole,,,,
u10_w0010,u10,kv,dad,,pær,,popa,Alexandre Leblanc,u10_w0010_kreole,,,,
u10_w0011,u10,kv,mom,,mær,,moman,Taalib ,u10_w0011_kreole,,,,
u10_w0012,u10,kv,grandmother,,granmær,,gran-moman,Chaoui Leblanc,u10_w0012_kreole,,,,
u10_w0013,u10,kv,grandfather,,granpær,,gran-popa,Alexandre Leblanc,u10_w0013_kreole,,,,
